PROD_DATE,WELL_NAME,ON_STREAM_HRS,BOTTOMHOLE_FLOWING_PRESSURE (PSI),DOWNHOLE_TEMPERATURE (deg F),ANNULUS_PRESS (PSI),CHOKE_SIZE (%),WELL_HEAD_PRESSURE (PSI),WELL_HEAD_TEMPERATURE (deg F),CUMULATIVE_OIL_PROD (STB),CUMULATIVE_FORMATION_GAS_PROD (MSCF),CUMULATIVE_TOTAL_GAS_PROD (MSCF),CUMULATIVE_WATER_PROD (BBL)
21-Mar-14,Well_#1,24,"2,945",207.808,"1,015.30",44.95576,"1,021.30",98.413,"24,702","24,353","33,628",0
22-Mar-14,Well_#1,24,"2,918",207.92,"1,039.71",45.67459,"1,003.48",106.659,"25,485","25,128","34,725",0
23-Mar-14,Well_#1,24,"2,872",208.104,"1,006.43",46.33671,926.685,106.526,"26,320","25,953","35,887",0
24-Mar-14,Well_#1,24,"2,877",208.057,"1,032.84",45.72187,942.691,109.386,"27,109","26,724","36,973",0
25-Mar-14,Well_#1,24,"2,873",208.054,"1,033.23",45.72819,965.109,109.199,"27,892","27,493","38,026",0
26-Mar-14,Well_#1,24,"2,872",208.042,977.895,45.12885,920.95,104.153,"28,636","28,232","39,045",0
27-Mar-14,Well_#1,24,"2,871",208.044,983.889,44.90033,946.17,106.273,"29,371","28,985","40,085",0
28-Mar-14,Well_#1,24,"2,869",208.068,"1,009.40",44.8957,951.169,99.418,"30,114","29,745","41,080",93
29-Mar-14,Well_#1,24,"2,870",208.094,"1,011.73",44.85489,940.647,107.804,"30,861","30,508","42,141",194
30-Mar-14,Well_#1,24,"2,871",208.127,"1,037.59",44.87383,933.326,108.608,"31,611","31,252","43,136",295
31-Mar-14,Well_#1,24,"2,871",208.157,"1,004.72",44.87715,943.816,108.417,"32,338","32,001","44,191",381
01-Apr-14,Well_#1,24,"2,871",208.183,980.023,44.83954,912.179,108.727,"33,054","32,746","45,253",472
02-Apr-14,Well_#1,24,"2,861",207.368,"1,031.99",44.82855,921.461,109.021,"33,749","33,465","46,251",549
03-Apr-14,Well_#1,24,"2,871",208.225,955.613,44.82861,907.426,110.006,"34,448","34,188","47,196",627
04-Apr-14,Well_#1,24,"2,871",208.244,975.262,44.84463,922.008,109.531,"35,152","34,920","48,236",704
05-Apr-14,Well_#1,24,"2,871",208.263,956.884,44.82118,932.209,109.151,"35,868","35,664","49,229",783
06-Apr-14,Well_#1,24,"2,871",208.278,"1,045.96",44.87684,941.294,109.698,"36,592","36,417","50,307",864
07-Apr-14,Well_#1,22,"2,888",207.998,"1,027.35",40.462,912.853,101.978,"37,052","36,897","50,986",910
08-Apr-14,Well_#1,24,"2,874",208.23,964.369,44.80739,928.006,105.359,"37,767","37,635","52,000",990
09-Apr-14,Well_#1,24,"2,888",208.223,"1,006.67",44.77259,911.788,106.385,"38,474","38,368","53,053","1,070"
10-Apr-14,Well_#1,24,"2,885",208.243,"1,002.12",45.63032,882.554,107.141,"39,151","39,068","54,033","1,161"
11-Apr-14,Well_#1,24,"2,881",208.266,999.747,45.78662,914.421,110.547,"39,841","39,770","55,029","1,253"
12-Apr-14,Well_#1,24,"2,879",208.278,"1,001.86",45.77828,899.698,110.668,"40,536","40,476","56,002","1,345"
13-Apr-14,Well_#1,24,"2,878",208.292,960.206,45.73746,937.117,103.878,"41,226","41,179","57,000","1,436"
14-Apr-14,Well_#1,24,"2,882",208.273,"1,010.32",45.11716,916.054,107.5,"41,873","41,849","57,889","1,521"
15-Apr-14,Well_#1,24,"2,850",208.396,"1,029.15",46.38075,873.99,107.216,"42,619","42,614","58,927","1,615"
16-Apr-14,Well_#1,24,"2,812",208.519,984.393,47.26594,860.713,118.025,"43,424","43,434","60,053","1,717"
17-Apr-14,Well_#1,24,"2,803",208.512,"1,001.08",46.816,890.455,119.164,"44,243","44,281","61,182","1,774"
18-Apr-14,Well_#1,24,"2,817",208.462,975.715,46.56574,850.949,115.084,"45,024","45,092","62,314","1,828"
19-Apr-14,Well_#1,24,"2,804",208.476,963.638,46.59911,849.035,116.854,"45,810","45,909","63,452","1,883"
20-Apr-14,Well_#1,24,"2,811",208.433,953.461,46.30816,876.962,114.877,"46,568","46,691","64,544","1,935"
21-Apr-14,Well_#1,24,"2,820",208.399,"1,034.75",46.19525,876.586,113.63,"47,294","47,444","65,605","1,985"
22-Apr-14,Well_#1,24,"2,819",208.397,"1,019.91",46.21067,869.387,113.713,"48,018","48,192","66,630","2,037"
23-Apr-14,Well_#1,24,"2,816",208.398,952.197,46.17896,844.82,112.058,"48,734","48,937","67,702","2,090"
24-Apr-14,Well_#1,24,"2,813",208.408,999.955,46.15762,855.585,113.391,"49,444","49,675","68,732","2,141"
25-Apr-14,Well_#1,24,"2,810",208.419,956.458,46.18286,862.78,113.773,"50,152","50,407","69,735","2,191"
26-Apr-14,Well_#1,24,"2,805",208.428,"1,024.65",46.19123,859.629,113.35,"50,855","51,128","70,762","2,243"
27-Apr-14,Well_#1,24,"2,804",208.432,"1,041.64",46.22994,814.779,112.553,"51,551","51,847","71,702","2,294"
28-Apr-14,Well_#1,24,"2,804",208.42,952.984,46.19908,848.853,111.76,"52,209","52,527","72,640","2,389"
29-Apr-14,Well_#1,24,"2,803",208.426,951.404,45.17052,810.694,112.738,"52,785","53,126","73,445","2,468"
30-Apr-14,Well_#1,16.58,"2,865",207.373,962.377,42.68,862.14,99.565,"53,155","53,515","74,002","2,520"
01-May-14,Well_#1,23.83,"2,835",207.683,972.236,43.04385,795.643,101.586,"53,574","53,960","74,641","2,579"
02-May-14,Well_#1,24,"2,807",208.417,975.052,45.64181,803.691,109.288,"54,163","54,581","75,532","2,671"
03-May-14,Well_#1,24,"2,809",208.452,"1,037.28",45.42671,814.404,109.708,"54,734","55,183","76,371","2,752"
04-May-14,Well_#1,24,"2,810",208.467,"1,048.80",44.453,776.097,109.761,"55,247","55,724","77,106","2,824"
05-May-14,Well_#1,24,"2,811",208.478,"1,026.69",45.38335,786.516,110.13,"55,810","56,317","77,905","2,903"
06-May-14,Well_#1,24,"2,811",208.485,"1,008.13",45.39574,801.666,103.285,"56,374","56,911","78,681","2,981"
07-May-14,Well_#1,24,"2,810",208.493,969.933,45.39958,767.826,102.048,"56,940","57,504","79,489","3,060"
08-May-14,Well_#1,24,"2,809",208.502,"1,028.43",45.44161,788.725,102.937,"57,503","58,096","80,312","3,140"
09-May-14,Well_#1,24,"2,807",208.507,959.934,45.45031,776.772,107.121,"58,067","58,686","81,144","3,220"
10-May-14,Well_#1,24,"2,807",208.511,"1,008.60",45.45878,762.681,110.699,"58,630","59,276","81,987","3,300"
11-May-14,Well_#1,24,"2,807",208.513,995.499,45.41983,746.5,108.215,"59,152","59,824","82,719","3,454"
12-May-14,Well_#1,24,"2,806",208.518,970.584,45.39961,732.518,111.961,"59,675","60,372","83,482","3,701"
13-May-14,Well_#1,24,"2,808",208.52,"1,025.11",45.40286,748.638,109.935,"60,197","60,919","84,228","3,949"
14-May-14,Well_#1,24,"2,808",208.525,"1,033.57",45.38789,739.313,111.967,"60,688","61,435","84,947","4,161"
15-May-14,Well_#1,24,"2,808",208.527,962.675,45.3841,713.246,109.93,"61,180","61,947","85,683","4,415"
16-May-14,Well_#1,24,"2,812",208.523,973.408,45.45363,739.351,110.694,"61,668","62,458","86,369","4,619"
17-May-14,Well_#1,24,"2,816",208.51,"1,025.02",45.39646,714.51,111.543,"62,150","62,961","87,062","4,818"
18-May-14,Well_#1,24,"2,818",208.488,971.278,45.59258,685.662,110.905,"62,642","63,476","87,755","5,034"
19-May-14,Well_#1,24,"2,806",208.527,979.586,46.4488,704.146,110.34,"63,118","63,971","88,403","5,280"
20-May-14,Well_#1,24,"2,803",208.536,"1,023.33",46.32774,705.586,110.374,"63,584","64,459","89,075","5,524"
21-May-14,Well_#1,24,"2,803",208.539,"1,033.79",46.2821,689.889,108.304,"64,048","64,943","89,753","5,766"
22-May-14,Well_#1,24,"2,805",208.533,"1,025.16",46.26431,668.108,114.121,"64,507","65,424","90,407","6,007"
23-May-14,Well_#1,24,"2,806",208.532,"1,031.82",46.25565,669.958,113.184,"64,965","65,905","91,050","6,248"
24-May-14,Well_#1,22.42,"2,819",208.323,"1,047.99",42.61593,698.434,109.08,"65,256","66,221","91,493","6,387"
25-May-14,Well_#1,24,"2,807",208.524,"1,003.21",46.53726,654.805,110.788,"65,743","66,735","92,229","6,643"
26-May-14,Well_#1,24,"2,807",208.58,958.047,46.26988,659.834,113.852,"66,212","67,222","92,908","6,885"
27-May-14,Well_#1,24,"2,808",208.589,"1,033.76",46.28678,681.374,114.192,"66,677","67,714","93,564","7,125"
28-May-14,Well_#1,24,"2,811",208.59,960.864,46.20436,657.653,115.285,"67,144","68,204","94,260","7,357"
29-May-14,Well_#1,24,"2,813",208.59,992.148,46.22631,674.998,114.91,"67,608","68,691","94,935","7,591"
30-May-14,Well_#1,24,"2,814",208.592,"1,012.69",46.18129,675.971,115.76,"68,067","69,175","95,621","7,842"
31-May-14,Well_#1,24,"2,817",208.591,"1,013.00",46.1633,641.843,114.053,"68,528","69,658","96,274","8,102"
01-Jun-14,Well_#1,24,"2,820",208.59,956.506,46.17438,628.811,114.59,"68,986","70,139","96,935","8,348"
02-Jun-14,Well_#1,24,"2,818",208.605,"1,040.98",46.68765,660.17,110.74,"69,467","70,645","97,619","8,606"
03-Jun-14,Well_#1,24,"2,801",208.673,980.688,47.25527,659.417,111.485,"69,957","71,153","98,317","8,849"
04-Jun-14,Well_#1,24,"2,807",208.652,"1,017.68",47.25636,636.517,114.154,"70,333","71,547","98,868","9,068"
05-Jun-14,Well_#1,24,"2,806",208.654,971.406,47.25968,631.396,114.28,"70,711","71,944","99,406","9,286"
06-Jun-14,Well_#1,24,"2,808",208.647,970.891,47.24339,625.529,112.821,"71,090","72,340","99,946","9,504"
07-Jun-14,Well_#1,24,"2,807",208.647,"1,024.46",47.2376,618.495,112.145,"71,468","72,738","100,480","9,717"
08-Jun-14,Well_#1,24,"2,778",208.722,"1,033.78",48.05199,624.834,110.619,"71,886","73,174","101,081","9,945"
09-Jun-14,Well_#1,24,"2,743",208.826,"1,010.08",48.1438,629.263,121.032,"72,394","73,702","101,787","10,207"
10-Jun-14,Well_#1,24,"2,738",208.819,"1,005.99",48.10647,601.794,119.697,"72,863","74,192","102,450","10,460"
11-Jun-14,Well_#1,24,"2,742",208.797,"1,007.41",48.68903,606.338,116.747,"73,385","74,737","103,181","10,754"
12-Jun-14,Well_#1,24,"2,743",208.78,"1,027.27",48.70456,572.069,119.511,"73,903","75,278","103,906","11,051"
13-Jun-14,Well_#1,24,"2,748",208.757,977.791,48.44791,593.337,112.935,"74,396","75,796","104,586","11,341"
14-Jun-14,Well_#1,24,"2,749",208.753,979.967,48.73205,575.116,110.096,"74,905","76,331","105,348","11,644"
15-Jun-14,Well_#1,24,"2,786",208.57,"1,014.79",47.954,526.965,101.903,"75,257","76,704","105,874","11,885"
16-Jun-14,Well_#1,24,"2,812",208.517,959.012,47.3634,526.062,92.299,"75,544","77,019","106,300","12,125"
17-Jun-14,Well_#1,24,"2,817",208.552,992.16,47.12086,555.762,102.151,"75,823","77,331","106,731","12,360"
18-Jun-14,Well_#1,24,"2,817",208.6,951.342,47.04329,560.335,110.988,"76,120","77,662","107,174","12,609"
19-Jun-14,Well_#1,24,"2,816",208.625,959.511,47.01765,563.986,111.729,"76,417","77,988","107,627","12,857"
20-Jun-14,Well_#1,24,"3,097",207.245,"1,014.99",59.25648,407.612,106.455,"76,708","78,315","108,070","13,394"
21-Jun-14,Well_#1,24,"2,917",209.1,972.156,51.45959,577.395,125.062,"77,135","78,804","108,772","13,738"
22-Jun-14,Well_#1,24,"2,940",209.022,"1,019.28",48.39082,632.911,122.973,"77,558","79,288","109,434","14,080"
23-Jun-14,Well_#1,24,"2,948",208.996,"1,004.48",48.1451,656.888,116.723,"77,970","79,761","110,079","14,417"
24-Jun-14,Well_#1,24,"2,935",209.008,972.893,47.98282,646.483,120.031,"78,381","80,231","110,709","14,753"
25-Jun-14,Well_#1,24,"2,932",208.963,995.588,47.98749,648.979,118.667,"78,790","80,698","111,355","15,087"
26-Jun-14,Well_#1,24,"2,932",208.93,978.077,47.23641,669.184,119.414,"79,180","81,143","111,988","15,403"
27-Jun-14,Well_#1,24,"2,949",208.849,"1,000.03",47.19389,661.526,112.047,"79,560","81,572","112,591","15,730"
28-Jun-14,Well_#1,24,"2,944",208.833,"1,047.45",47.15806,650.837,110.812,"79,951","81,973","113,153","16,054"
29-Jun-14,Well_#1,24,"2,940",208.817,"1,003.45",47.18744,647.565,113.814,"80,343","82,375","113,701","16,383"
30-Jun-14,Well_#1,24,"2,938",208.81,"1,035.45",47.16332,650.556,116.918,"80,728","82,773","114,258","16,706"
01-Jul-14,Well_#1,24,"2,936",208.798,985.389,47.1641,624.652,114.579,"81,070","83,132","114,759","16,997"
02-Jul-14,Well_#1,24,"2,934",208.787,"1,048.01",47.1685,615.25,112.979,"81,409","83,491","115,246","17,288"
03-Jul-14,Well_#1,24,"2,931",208.781,962.556,47.18305,617.541,113.418,"81,753","83,856","115,723","17,586"
04-Jul-14,Well_#1,24,"2,930",208.769,"1,012.41",47.18536,620.63,114.004,"82,087","84,206","116,184","17,890"
05-Jul-14,Well_#1,24,"2,930",208.756,"1,024.39",47.142,614.865,114.621,"82,416","84,555","116,682","18,193"
06-Jul-14,Well_#1,24,"2,895",208.836,950.52,47.6744,630.428,116.484,"82,775","84,932","117,207","18,513"
07-Jul-14,Well_#1,24,"2,865",208.936,"1,028.66",47.918,599.015,118.159,"83,152","85,331","117,735","18,846"
08-Jul-14,Well_#1,24,"2,870",208.887,980.527,47.821,617.828,117.304,"83,509","85,708","118,276","19,178"
09-Jul-14,Well_#1,24,"2,867",208.874,"1,037.07",47.71148,590.956,113.745,"83,863","86,083","118,814","19,506"
10-Jul-14,Well_#1,24,"2,869",208.861,"1,018.15",47.68821,580.491,114.162,"84,202","86,445","119,289","19,824"
11-Jul-14,Well_#1,24,"2,871",208.843,"1,011.87",47.65562,565.321,109.313,"84,527","86,792","119,759","20,148"
12-Jul-14,Well_#1,24,"2,871",208.835,998.683,47.66434,561.903,107.678,"84,852","87,139","120,238","20,470"
13-Jul-14,Well_#1,24,"2,870",208.83,"1,026.91",47.65849,578.473,105.711,"85,174","87,486","120,693","20,792"
14-Jul-14,Well_#1,23.09,"2,872",208.82,"1,044.35",47.54358,566.735,106.487,"85,482","87,817","121,170","21,100"
15-Jul-14,Well_#1,24,"2,950",207.428,"1,026.35",52.06218,114.139,104.415,"85,537","87,880","121,253","21,242"
16-Jul-14,Well_#1,24,"2,765",209.12,978.07,56.67501,446.96,113.803,"85,736","88,103","121,570","21,550"
17-Jul-14,Well_#1,24,"2,886",208.957,"1,006.38",50.31846,516.696,103,"86,012","88,406","122,000","22,005"
18-Jul-14,Well_#1,24,"2,869",209.003,"1,029.87",49.37073,547.943,112.102,"86,299","88,716","122,447","22,465"
19-Jul-14,Well_#1,24,"2,864",209.013,"1,037.24",49.02993,548.718,111.656,"86,622","89,064","122,907","22,817"
20-Jul-14,Well_#1,24,"2,883",208.948,"1,005.59",48.70207,553.21,112.377,"86,938","89,403","123,383","23,162"
21-Jul-14,Well_#1,24,"2,880",208.954,"1,000.47",48.91711,556.875,108.44,"87,260","89,742","123,837","23,497"
22-Jul-14,Well_#1,24,"2,880",208.944,977.649,48.97838,569.657,105.739,"87,580","90,094","124,339","23,842"
23-Jul-14,Well_#1,24,"2,877",208.944,971.161,48.93956,567.287,105.587,"87,906","90,449","124,811","24,186"
24-Jul-14,Well_#1,24,"2,873",208.94,978.291,48.89741,544.568,106.429,"88,235","90,807","125,311","24,514"
25-Jul-14,Well_#1,24,"2,873",208.931,964.863,48.88402,543.467,104.865,"88,560","91,160","125,794","24,840"
26-Jul-14,Well_#1,24,"2,873",208.921,"1,024.96",48.86635,555.616,110.097,"88,884","91,511","126,257","25,166"
27-Jul-14,Well_#1,24,"2,875",208.906,996.603,48.85004,542.047,116.836,"89,204","91,860","126,717","25,502"
28-Jul-14,Well_#1,24,"2,877",208.895,"1,043.93",48.85213,560.626,116.371,"89,525","92,208","127,187","25,840"
29-Jul-14,Well_#1,24,"2,874",208.897,"1,043.12",48.95311,531.994,116.621,"89,848","92,558","127,674","26,175"
30-Jul-14,Well_#1,24,"2,871",208.902,996.511,49.04639,544.455,114.59,"90,170","92,907","128,155","26,507"
31-Jul-14,Well_#1,24,"2,874",208.889,956.798,49.04197,540.74,114.986,"90,491","93,257","128,613","26,837"
01-Aug-14,Well_#1,24,"2,874",208.884,"1,049.12",48.96365,533.753,107.215,"90,812","93,607","129,088","27,166"
02-Aug-14,Well_#1,24,"2,874",208.881,986.171,49.0042,534.861,101.079,"91,136","93,959","129,583","27,495"
03-Aug-14,Well_#1,24,"2,880",208.863,988.679,49.33799,515.354,109.881,"91,462","94,315","130,081","27,830"
04-Aug-14,Well_#1,24,"2,876",208.87,"1,004.18",49.3842,539.065,109.288,"91,779","94,657","130,562","28,160"
05-Aug-14,Well_#1,24,"2,879",208.859,952.752,49.32381,524.41,109.288,"92,093","94,998","131,024","28,495"
06-Aug-14,Well_#1,24,"2,879",208.858,967.026,49.29441,519.81,100.808,"92,407","95,340","131,490","28,825"
07-Aug-14,Well_#1,24,"2,881",208.852,"1,010.04",49.24992,523.923,101.377,"92,721","95,682","131,962","29,157"
08-Aug-14,Well_#1,24,"2,882",208.848,988.983,49.26024,529.191,98.422,"93,038","96,028","132,460","29,490"
09-Aug-14,Well_#1,25,"2,884",208.844,"1,019.05",49.27638,541.618,96.792,"93,372","96,390","132,957","29,826"
10-Aug-14,Well_#1,24,"2,871",208.885,"1,037.60",49.25544,522.884,105.741,"93,690","96,736","133,422","30,159"
11-Aug-14,Well_#1,24,"2,870",208.891,984.854,48.98312,536.71,105.875,"94,005","97,078","133,910","30,484"
12-Aug-14,Well_#1,24,"2,880",208.86,950.599,48.98366,515.646,114.684,"94,309","97,406","134,354","30,805"
13-Aug-14,Well_#1,24,"2,886",208.84,957.752,49.50834,505.689,112.424,"94,628","97,750","134,810","31,135"
14-Aug-14,Well_#1,24,"2,864",208.904,"1,049.34",49.7705,541.793,113.406,"94,950","98,102","135,307","31,465"
15-Aug-14,Well_#1,24,"2,868",208.888,"1,045.27",49.3907,543.508,103.777,"95,267","98,447","135,792","31,789"
16-Aug-14,Well_#1,24,"2,872",208.873,"1,015.66",49.37876,524.605,102.273,"95,588","98,797","136,259","32,118"
17-Aug-14,Well_#1,24,"2,875",208.859,"1,016.37",49.40292,507.072,107.762,"95,883","99,118","136,715","32,447"
18-Aug-14,Well_#1,24,"2,877",208.852,"1,040.29",49.36552,505.361,113.825,"96,174","99,435","137,168","32,752"
19-Aug-14,Well_#1,24,"2,894",208.79,"1,026.74",49.59808,519.686,112.845,"96,462","99,751","137,614","33,058"
20-Aug-14,Well_#1,24,"2,893",208.774,"1,009.11",50.09056,506.039,108.138,"96,754","100,070","138,047","33,368"
21-Aug-14,Well_#1,24,"2,871",208.881,"1,005.13",49.31793,514.157,110.282,"97,047","100,389","138,475","33,672"
22-Aug-14,Well_#1,24,"2,871",208.879,977.748,49.28392,534.692,106.109,"97,340","100,710","138,910","33,993"
23-Aug-14,Well_#1,24,"2,877",208.855,"1,018.29",49.27677,532.405,105.797,"97,630","101,031","139,346","34,319"
24-Aug-14,Well_#1,24,"2,903",208.767,"1,018.42",50.149,490.818,106.909,"97,913","101,355","139,776","34,643"
25-Aug-14,Well_#1,24,"2,871",208.871,999.372,50.14537,529.576,116.205,"98,207","101,683","140,219","34,975"
26-Aug-14,Well_#1,24,"2,860",208.915,"1,046.75",50.08722,529.428,114.552,"98,503","102,008","140,671","35,292"
27-Aug-14,Well_#1,24,"2,875",208.867,"1,025.85",50.05719,520.83,113.854,"98,794","102,329","141,110","35,604"
28-Aug-14,Well_#1,24,"2,882",208.831,"1,019.78",50.03687,515.626,113.098,"99,084","102,649","141,554","35,916"
29-Aug-14,Well_#1,24,"2,872",208.873,991.805,50.04891,526.172,112.722,"99,377","102,972","141,996","36,227"
30-Aug-14,Well_#1,24,"2,886",208.818,983.199,50.48038,490.338,110.498,"99,670","103,294","142,451","36,546"
31-Aug-14,Well_#1,24,"2,899",208.751,"1,042.75",51.04171,483.108,109.758,"99,963","103,611","142,889","36,876"
01-Sep-14,Well_#1,24,"2,876",208.869,"1,043.25",49.42074,524.042,114.752,"100,252","103,921","143,313","37,189"
02-Sep-14,Well_#1,24,"2,891",208.8,992.824,49.40386,521.368,114.173,"100,534","104,224","143,739","37,495"
03-Sep-14,Well_#1,24,"2,871",208.856,969.742,49.41498,528.61,116.844,"100,820","104,532","144,154","37,797"
04-Sep-14,Well_#1,24,"2,872",208.837,"1,028.03",49.39999,519.954,115.641,"101,103","104,839","144,594","38,098"
05-Sep-14,Well_#1,24,"2,870",208.83,980.262,49.39932,506.045,112.15,"101,386","105,145","145,031","38,399"
06-Sep-14,Well_#1,24,"2,885",208.595,"1,034.58",49.32136,488.044,110.609,"101,659","105,445","145,425","38,698"
01-Jan-12,Well_#2,9.5,"3,719",203.818,0,42.68,"1,547.85",70.407,94,66,66,65
02-Jan-12,Well_#2,24,"3,640",207.344,0,44.57355,"1,451.32",114.117,885,533,533,365
03-Jan-12,Well_#2,24,"3,489",208.116,0,46.36498,"1,388.67",141.521,"1,802","1,118","1,118",710
04-Jan-12,Well_#2,24,"3,380",208.142,0,46.2788,"1,249.51",135.385,"2,590","1,572","1,572","1,111"
05-Jan-12,Well_#2,24,"3,303",208.188,0,46.43129,"1,168.99",133.258,"3,381","2,026","2,026","1,517"
06-Jan-12,Well_#2,24,"3,225",208.199,0,46.53332,"1,111.55",139.079,"4,164","2,474","2,474","1,928"
07-Jan-12,Well_#2,24,"3,174",208.092,0,45.95438,"1,050.55",127.404,"4,739","2,804","2,804","2,390"
08-Jan-12,Well_#2,24,"3,128",208.087,0,46.66811,982.137,129.574,"5,365","3,161","3,161","2,903"
09-Jan-12,Well_#2,17.67,"3,087",207.561,0,35.26429,876.559,118.863,"5,721","3,364","3,364","3,186"
10-Jan-12,Well_#2,20.67,"3,045",207.689,0,39.56518,944.614,129.359,"6,144","3,605","3,605","3,497"
11-Jan-12,Well_#2,24,"3,036",207.936,0,46.43246,878.532,129.275,"6,631","3,881","3,881","3,864"
12-Jan-12,Well_#2,24,"2,989",208.092,0,47.57173,913.3,128.119,"7,228","4,222","4,222","4,283"
13-Jan-12,Well_#2,24,"2,918",208.136,0,48.65104,859.43,133.376,"7,838","4,571","4,571","4,709"
14-Jan-12,Well_#2,24,"2,867",207.519,0,54.12785,593.851,110.656,"8,419","4,906","4,906","5,147"
15-Jan-12,Well_#2,24,"2,876",207.991,0,49.02336,652.386,128.746,"8,880","5,169","5,169","5,477"
16-Jan-12,Well_#2,24,"2,855",207.992,0,47.51592,749.812,126.46,"9,333","5,422","5,422","5,784"
17-Jan-12,Well_#2,24,"2,852",207.985,0,47.50523,736.869,126.803,"9,752","5,664","5,664","6,077"
18-Jan-12,Well_#2,24,"2,852",207.985,0,47.50523,719.092,126.803,"10,194","5,918","5,918","6,369"
19-Jan-12,Well_#2,24,"2,852",207.985,0,47.50523,717.902,126.803,"10,642","6,175","6,175","6,665"
20-Jan-12,Well_#2,18.67,"2,792",206.979,0,28.51822,717.882,126.038,"10,868","6,305","6,305","6,845"
